"Parameter","Access","Layer","Source"
"HMCS_WEAPON_QTY","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"RADAR_CONTACT_01_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_CONTACT_01_RANGE_SCALED","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_GATE_RANGE_SCALED","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_MODE","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_STT_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_STT_AZIMUTH_STAB","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_STT_ELEVATION","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_STT_ELEVATION_STAB","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_STT_RANGE","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_TDC_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADAR_TDC_RANGE_SCALED","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADARPOWER_STATE","ReadWrite","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"RADARSTATE","Read","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"RADARSTATE","ReadWrite","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_LOCK","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_LOCK","Read","Lua","Cockpit/Scripts/Systems/weapon_system.lua"
"WS_IR_MISSILE_SEEKER_DESIRED_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_SEEKER_DESIRED_ELEVATION","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_TARGET_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_TARGET_AZIMUTH","Read","Lua","Cockpit/Scripts/Systems/weapon_system.lua"
"WS_IR_MISSILE_TARGET_ELEVATION","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"WS_IR_MISSILE_TARGET_ELEVATION","Read","Lua","Cockpit/Scripts/Systems/weapon_system.lua"
"WS_TARGET_RANGE","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
